lat,lon,Region,historic_forest_change,proj_forest_change
4.0,98.0,Tropics,-20.384874977874908,-29.13003718636096
4.0,102.0,Tropics,-4.6903500224172205,-35.21504676163705
4.0,108.0,Tropics,-9.192674989170214,-13.10999704203523
4.0,114.0,Tropics,-24.319499997048865,-64.48993973998815
4.0,116.0,Tropics,-0.3088499998046217,-36.0400106575946
6.0,-74.0,Tropics,-1.7303499999279524,-64.13552399462068
6.0,-66.0,Tropics,-0.06790000005725005,-0.20999454806908519
6.0,-64.0,Tropics,-0.20700000013130193,-0.5400112565138301
6.0,-62.0,Tropics,-0.007300000032529397,-0.05499964535434822
6.0,-60.0,Tropics,-0.03482499999159927,-0.524992927355843
6.0,-58.0,Tropics,-2.5841249987767796,-23.744812818753097
6.0,-10.0,Tropics,-7.001874999866516,-9.864917533069661
6.0,-8.0,Tropics,-0.020950000373289868,-68.25498075963236
6.0,-4.0,Tropics,-11.800450000390711,-87.97505448485703
8.0,-78.0,Tropics,-0.17350000051806092,-16.96997974670166
8.0,-76.0,Tropics,-7.9544249978461465,-1.4099801087267654
8.0,-72.0,Tropics,-0.3722750004448301,-31.715084729435706
8.0,-60.0,Tropics,-1.0211499999494578,-2.615043201698601
8.0,-10.0,Tropics,-4.701875005245952,-90.36011873886213
8.0,36.0,Tropics,-0.49737499976241395,-7.290067526757584
8.0,124.0,Tropics,-2.5865749991754257,-40.10997556192063
10.0,-84.0,Tropics,-1.5348499996990697,-29.61967695108688
10.0,126.0,Tropics,-0.4851749994817567,-1.7349593508713703
12.0,-84.0,Tropics,-21.480274997246696,-59.98019454304074
12.0,104.0,Tropics,-0.8273249994683738,-21.865248252380646
12.0,108.0,Tropics,-4.457825037039328,-23.994061179816676
14.0,-138.0,Tropics,0.0,
14.0,-136.0,Tropics,0.0,
14.0,-84.0,Tropics,-13.40377501196636,-55.704920863025464
14.0,104.0,Tropics,-82.345374998098,-50.289025932189425
16.0,-124.0,Tropics,0.0,
16.0,-122.0,Tropics,0.0,
16.0,106.0,Tropics,-0.6835999997979201,-1.9049898180708176
16.0,108.0,Tropics,-17.5664499924275,-55.42446244068942
18.0,-90.0,Tropics,-0.01495000000817015,-53.04069417293853
18.0,102.0,Tropics,-0.2778750007156532,-25.659949172192437
18.0,106.0,Tropics,-2.33750000134728,-52.02560147696277
18.0,122.0,Tropics,-4.476950010908638,-39.56502618979854
20.0,-88.0,Tropics,-0.07900000119470008,-27.650003124966442
20.0,102.0,Tropics,-18.07104998288927,-26.60403399396158
20.0,104.0,Tropics,-31.027150008785554,-10.335674252144795
22.0,-80.0,Tropics,-1.8590999996477535,-65.90954342250342
22.0,102.0,Tropics,-1.714800000802569,-19.34969650439411
22.0,104.0,Tropics,-2.488874998421494,-28.20059856339265
22.0,106.0,Tropics,-10.26817499603493,-22.985531214789372
22.0,108.0,Tropics,-28.550849979584406,-2.0050646925589817
22.0,112.0,Tropics,-26.340224984234975,-12.380044265406626
24.0,94.0,Tropics,-5.213074997134271,-16.20010535567599
24.0,110.0,Tropics,-2.5303250121533836,-2.6649107979325644
24.0,114.0,Tropics,-11.161150005931255,-3.48980790484791
26.0,94.0,Tropics,-4.661125001761718,-1.1149700586143253e-19
26.0,96.0,Tropics,-0.2251499998689468,-23.770790355376818
26.0,98.0,Tropics,-0.2485500005450092,-19.135812405301575
28.0,96.0,Tropics,-8.154275004624878,-26.69785278472493
-16.0,-68.0,Amazon,-0.3353750001856639,-2.1699898425614594
-16.0,-66.0,Amazon,-1.5897250007409411,-17.564075813516208
-14.0,-64.0,Amazon,-0.7800750001274253,-26.414600136127426
-12.0,-54.0,Amazon,-0.5625000044843489,
-12.0,-58.0,Amazon,-28.716799991373588,-0.9199981362953933
-14.0,-68.0,Amazon,-12.461899993551114,-6.965356892088309
-12.0,-74.0,Amazon,-17.96242500749723,-14.659543619899553
